#	 	T	e	s	t	i	n	g
 	Ryu	Ken	EHonda	ChunLi	Blanka	Zangief	Guile	Dhalsim	Balrog	Vega	Sagat	MBison
Ryu	-	9.8	5.7	4.8	4.2	10	8.7	7.6	8	7.4	9.4	5.9
Ken	0.2	-	3.8	0.8	2.3	9.5	9.3	7.5	2	3.6	1.6	0
EHonda	4.3	6.2	-	0.6	6.5	6.8	8.1	9	7.5	4.1	7.7	3.5
ChunLi	5.2	9.2	9.4	-	3.1	9.2	10	10	9.9	9.6	9.2	10
Blanka	5.8	7.7	3.5	6.9	-	10	6.8	2.2	5.1	6.1	7	7.8
Zangief	0	0.5	3.2	0.8	0	-	0.6	1.4	2.9	0	1.4	1.5
Guile	1.3	0.7	1.9	0	3.2	9.4	-	0.3	4.3	7	1.4	5.6
Dhalsim	2.4	2.5	1	0	7.8	8.7	9.7	-	10	9.6	9.6	9.7
Balrog	2	8	2.5	0.1	4.9	7.1	5.7	0	-	7.8	0.1	0.5
Vega	2.6	6.4	5.9	0.4	3.9	10	3	0.4	2.2	-	9.4	6.7
Sagat	0.6	8.4	2.3	0.8	3	8.6	8.6	0.4	9.8	0.6	-	6.3
MBison	4.1	10	6.5	0	2.2	8.5	4.4	0.3	9.5	3.3	3.7	-
