#{"t_start": 1676005574.541217, "env_id": null}
r,l,t
-124.84,501,7.909032
-99.44,469,10.590275
109.0,477,13.015335
-145.0,306,14.617978
-115.0,463,16.860392
-277.0,302,18.036629
-214.0,297,19.60102
-222.0,253,20.595297
-250.0,271,22.052025
-277.0,279,23.584872
-277.0,260,24.554024
-171.0,322,26.209695
-281.0,270,27.240504
-211.76,395,29.182685
-277.0,235,30.13553
-230.0,292,31.691073
-197.0,416,33.780593
-278.44,283,34.910558
-102.0,427,36.971964
338.28,244,38.340388
-100.32,472,40.659544
-110.0,479,42.992731
-203.12,463,44.807786
-260.0,221,46.067859
-114.0,297,47.236655
-136.0,223,48.549883
161.0,324,50.266125
255.64,673,53.323128
-277.0,281,54.418172
117.0,343,56.160272
-243.08,198,56.920775
-243.0,376,58.767602
-244.16,405,60.708054
-241.0,233,61.593012
-260.84,280,63.116618
-177.0,401,65.108839
-132.84,388,67.048434
-225.68,353,68.38388
-195.0,338,70.189781
-277.0,329,71.92668
-236.0,251,72.897427
-260.0,178,73.584575
-118.0,405,75.561043
-240.0,238,76.896439
-242.0,342,78.200561
-129.76,329,79.864496
-243.0,250,80.823996
-281.48,264,82.284435
-237.0,410,84.322559
-290.76,174,84.999149
-232.0,256,86.422549
-251.0,318,87.647672
-259.0,415,89.684269
-269.0,316,91.324232
-277.0,312,92.541447
-264.48,300,94.126161
-227.0,273,95.168042
-277.0,364,96.924271
-243.0,308,98.508425
-192.0,427,100.537286
-160.0,391,101.969002
-149.28,323,103.617693
-243.0,311,105.213138
-163.84,305,106.373985
-240.0,239,107.673518
-277.0,208,108.421734
-260.0,260,109.365276
-277.0,306,110.967827
-248.0,369,112.781355
-260.0,426,114.820495
-163.32,446,116.901942
-119.0,292,117.987512
-277.0,277,119.483481
-180.48,287,120.591012
-277.0,320,122.242764
-258.0,422,124.295299
-278.44,245,125.208254
-241.0,318,126.875996
-159.0,348,128.250303
-234.0,419,130.327064
-259.0,353,132.23221
-277.0,250,133.241925
-277.0,230,134.55864
-231.0,250,135.529769
-271.0,279,137.13166
-277.0,358,139.019144
-231.0,413,140.660538
-243.0,295,142.371922
-191.0,415,144.463656
-260.0,207,145.281879
-206.0,404,147.425916
-277.0,256,148.459634
-277.0,336,150.22154
-93.4,423,152.445952
-160.52,304,154.163496
-225.52,229,155.054911
-249.0,269,156.538032
-278.28,300,157.700531
-296.76,166,158.352435
-243.0,267,159.887618
-277.0,286,161.479572
-286.0,271,162.533081
-231.0,309,164.175613
-258.0,252,165.18767
-163.0,332,167.021446
117.0,325,168.349967
-175.0,422,170.543939
-170.0,209,171.81057
-229.0,280,172.943606
-243.0,356,174.854619
-277.0,220,175.739941
-281.0,146,176.653574
-277.0,272,177.743281
-277.0,304,179.35205
-243.0,262,180.35292
-231.0,233,181.716814
-105.0,558,184.453248
-226.0,374,186.39042
-254.76,178,187.072984
-235.0,286,188.258383
-277.0,263,189.651563
-284.0,364,191.491161
-277.0,276,192.545385
-264.48,238,193.912196
-260.0,358,195.256109
-126.0,318,196.839435
-260.0,219,197.655855
-138.0,332,199.330916
-260.0,335,201.005317
-255.76,253,201.941957
-205.32,270,203.391366
-225.0,308,204.54992
-277.0,298,206.084154
-184.0,407,208.057543
-242.0,371,209.574515
-231.0,260,211.05063
-243.0,338,212.80198
-252.0,187,213.504814
-277.0,253,214.485048
-209.0,371,216.403719
-177.0,277,217.928681
-107.0,354,219.282839
-246.76,203,220.50242
-185.0,416,222.518384
-284.0,300,223.633368
-242.6,251,225.011689
-241.96,226,225.921183
-145.76,295,227.379725
-241.0,287,228.497496
-238.0,322,230.08423
-209.0,347,231.900026
-260.0,244,232.858707
-277.0,253,234.226307
-277.0,313,235.45848
-240.0,259,236.836595
-283.0,242,237.728736
-234.0,379,239.530784
-261.0,320,241.122895
-207.0,325,242.321712
-287.0,215,243.526163
-277.0,221,244.33908
-260.0,225,245.182571
-277.0,188,246.289779
-168.0,254,247.232705
-286.0,238,248.588591
-277.0,268,249.618773
-270.16,296,251.25144
-279.08,264,252.302933
-283.0,251,253.752472
-242.0,317,254.991671
-241.12,426,257.060779
-220.0,327,258.804857
-277.0,278,259.909522
-251.64,276,261.458431
-277.8,274,262.994207
-285.0,310,264.214197
-238.0,373,266.154864
-277.0,196,266.938395
-277.0,245,268.369114
-244.0,320,269.652814
-206.0,393,271.837401
-120.0,369,273.759534
-153.0,451,275.95583
-244.0,326,277.230335
-237.0,264,278.725917
-211.76,268,279.796771
-248.0,409,281.884306
-277.0,382,284.023283
-252.0,344,285.844778
-277.0,211,286.690429
-277.0,193,287.485044
-239.32,253,288.969171
-243.0,394,291.096749
-140.0,402,292.69896
-240.0,252,294.186109
-280.0,234,295.133018
-236.0,296,296.752256
-243.0,253,298.231704
-290.76,189,298.975798
-277.0,221,299.839791
-206.0,346,301.634464
-241.0,331,303.38716
-237.0,394,304.910267
-242.0,278,306.499243
-243.0,165,307.14178
-277.0,200,308.3586
-277.0,293,309.428447
-233.0,386,311.295588
-277.0,250,312.278608
-247.48,264,313.662477
-218.48,345,315.342804
-188.76,284,316.416284
-241.0,284,317.883988
-239.0,257,318.831415
-103.0,420,320.777229
-219.0,424,322.757427
-277.16,221,323.567572
-233.0,300,325.078527
-277.8,226,325.91863
-281.8,244,327.256268
-235.0,246,328.164142
-241.8,330,329.790774
-218.0,386,331.645181
-248.0,305,332.757381
-135.0,468,334.892629
-203.0,434,336.887089
-277.0,308,338.434988
-277.0,334,339.893599
-287.0,289,341.436451
-138.0,396,343.413553
-277.0,219,344.245931
-222.0,307,345.884664
-283.0,174,346.545582
-244.0,375,348.503617
-206.0,331,349.885371
-249.0,251,351.297271
-190.76,309,352.913145
-209.0,395,354.427749
-296.76,173,355.424773
-243.0,327,356.666146
-277.0,237,357.99829
-241.0,357,359.325383
-277.0,384,361.167744
-262.0,190,362.30312
-277.0,410,363.875436
-256.8,303,365.427851
-234.64,265,366.393594
-277.0,347,368.113557
-243.0,201,369.312229
-250.0,435,371.004507
-238.0,445,373.202663
-277.0,238,374.585773
-241.0,273,375.685006
-283.0,294,377.302138
-211.0,430,379.52213
-290.76,226,380.378581
-164.0,346,382.141467
-277.0,201,382.907906
-251.0,277,384.417095
-290.76,186,385.139087
-243.0,348,387.004786
-253.0,414,389.104856
-128.0,536,391.685855
-251.0,434,393.378947
-240.0,344,395.169359
-249.0,329,396.973222
-277.0,258,398.007177
-277.0,302,399.567672
-150.52,451,401.688025
-165.0,419,403.731971
-241.0,422,405.314545
-208.0,414,407.299029
-209.0,359,409.133037
-210.0,359,410.945279
-244.0,365,412.29111
-244.0,356,414.119379
144.0,673,417.213532
-277.0,367,419.213769
-205.0,429,421.351182
-153.52,454,423.656608
-277.0,277,424.677884
-242.0,353,426.473953
121.0,337,428.160701
-240.0,280,429.196761
-101.0,446,431.533829
-109.52,610,434.289027
-212.52,446,436.349991
-241.48,413,438.347778
-290.76,249,439.315545
-277.0,422,441.305621
-277.0,246,442.622012
-277.0,338,443.898675
-207.0,429,445.952683
-284.0,442,448.096815
-148.0,598,450.804066
-127.8,423,452.880554
-283.0,420,454.939768
-248.0,419,456.969789
-242.0,430,459.069976
-227.52,465,460.891232
-244.0,442,463.021093
-277.0,431,465.121465
-239.0,452,467.255698
-260.0,448,469.442951
-104.0,501,471.794245
-166.0,481,474.042774
-247.52,443,476.196722
-147.0,340,477.509875
-167.0,536,480.008596
-207.0,449,482.153942
-287.0,428,484.239242
-249.0,377,486.131173
-169.0,477,488.451091
-208.0,472,490.857473
-216.0,223,491.761385
-243.0,434,494.077885
-130.0,422,496.283484
-140.0,461,498.646188
-277.0,468,501.131712
-261.0,395,502.720735
-241.0,453,505.015692
-155.0,565,507.760914
589.0,262,509.258567
-118.52,673,512.526038
-175.0,325,514.306401
-173.0,450,516.610773
-244.0,428,518.754489
-134.0,571,521.436893
-243.0,349,522.788981
-102.0,595,526.058124
-187.0,421,527.709434
-241.0,467,529.965623
-249.0,465,532.239676
-212.52,435,534.444197
-254.0,415,536.523476
-207.0,396,538.579665
141.0,435,540.274912
-289.52,450,542.439928
-213.0,424,544.527968
-243.0,401,546.529071
-197.0,445,548.706258
-216.0,431,550.757983
-244.0,444,552.916707
-244.0,398,554.403271
-244.0,433,556.438055
-213.8,471,558.694217
-106.0,345,560.417088
-113.0,660,563.421154
121.0,670,566.413709
-254.0,284,568.005409
-166.0,412,569.989542
-213.0,461,572.171091
-241.0,423,573.8081
-277.0,443,575.917056
-205.0,413,577.950812
-109.0,422,580.009107
-205.0,486,582.291891
-283.0,321,583.958179
-267.0,426,585.567294
-209.0,423,587.622709
-220.0,439,589.76837
-208.52,449,591.909409
-172.0,523,594.364234
-244.0,417,596.438601
-254.76,325,597.729707
-191.0,338,599.451084
-219.52,433,601.589023
-248.0,417,603.681185
-206.8,447,605.839146
-216.0,445,607.50779
281.0,473,609.831915
-204.0,524,612.322212
-169.0,459,614.577126
-131.0,378,616.569002
-164.52,524,619.107803
-170.0,401,621.182074
-241.0,364,623.241207
157.0,424,624.964069
-127.0,673,628.614569
-137.0,546,631.260563
-241.16,416,633.49064
-277.0,416,635.176632
-240.0,298,636.864272
-188.0,523,639.406721
-277.0,443,641.572978
-241.0,382,643.504744
-105.0,521,645.955284
-290.76,209,646.755346
-163.0,452,648.965711
-139.0,453,651.22569
225.0,501,653.659613
-208.0,455,655.901859
-193.0,500,658.35652
-251.0,426,660.021431
-241.0,381,661.950671
-241.0,479,664.238945
-208.0,416,666.358993
-148.0,423,668.457664
-106.0,466,670.740016
309.0,446,672.919014
-225.0,489,675.269154
-215.0,423,676.870437
433.0,334,678.607801
-161.0,418,680.665076
-208.0,454,682.864208
-123.52,476,685.129446
-277.0,406,686.691767
-125.0,535,689.19171
-277.0,299,690.756646
-125.0,604,693.489828
-277.0,302,695.095802
-202.0,414,697.116549
-216.0,476,699.331717
-277.0,292,700.392231
-180.0,480,702.626552
-201.0,424,704.63642
-123.0,359,706.414495
-132.0,296,707.530261
-202.0,459,709.670033
-186.52,437,711.727124
-214.0,434,713.786533
101.0,637,716.566548
-177.0,465,719.398841
-177.0,465,720.954982
-177.0,465,722.537855
-177.0,465,724.13392
-177.0,465,725.716305
-177.0,465,727.242179
-177.0,465,728.796508
-177.0,465,730.326104
-177.0,465,731.89199
-177.0,465,733.509014
