#{"t_start": 1676008442.6237855, "env_id": null}
r,l,t
-197.0,320,1.488005
-244.0,311,3.382825
-214.0,175,4.041396
-234.0,260,5.485641
-277.0,268,6.520436
-185.8,235,7.893415
-171.0,243,8.816902
-181.0,345,10.625797
-277.0,249,11.598287
-240.88,401,13.574126
-104.44,445,15.735043
-271.0,305,16.909803
-241.0,208,18.130165
-163.0,365,19.975503
-277.0,337,21.229567
-271.0,363,23.065455
141.0,436,25.183826
-255.76,223,26.018844
-102.0,544,28.6129
-117.24,514,31.152457
-227.16,231,32.516742
-250.0,300,33.658461
-152.0,311,35.2825
-208.0,382,37.214978
-257.0,250,38.15333
-222.0,268,39.622663
-241.0,255,40.619961
-277.0,207,41.870334
-178.0,300,43.019159
-263.76,242,44.419785
-189.0,413,46.034637
-282.84,282,47.62536
-155.52,417,49.702164
-277.0,260,50.720469
-277.0,273,52.214945
-261.76,216,53.097735
-277.0,265,54.607073
-211.48,233,55.527365
-290.76,305,57.172057
-278.0,203,57.976228
-175.96,162,59.050088
-241.0,313,60.244777
-290.76,164,60.891215
-249.0,246,62.295141
-180.0,345,64.104859
-207.0,432,65.810968
-238.0,366,67.649609
149.0,260,69.118697
-171.0,258,70.127492
-132.0,304,71.774036
-242.0,214,72.609691
-134.68,259,74.055279
-277.0,279,75.207033
-254.76,151,76.251421
-269.0,214,77.080989
-262.76,248,78.055238
-277.0,266,79.521438
-188.52,313,81.242027
-283.0,274,82.297935
-287.0,252,83.73431
-284.0,197,84.487879
-257.0,185,85.217218
-243.0,217,86.472697
-277.0,214,87.293354
-290.76,165,88.385452
-277.0,260,89.392424
-241.0,200,90.163762
-176.0,209,91.451596
-277.0,299,92.62215
-212.0,263,94.102317
-127.0,270,95.154918
-170.0,365,97.001025
-223.76,174,98.120425
-283.0,235,99.021772
-250.0,257,100.010395
-277.0,242,101.332983
-240.0,328,103.057736
-251.0,287,104.153732
-277.0,279,105.658676
-243.0,258,106.632164
-283.0,197,107.846521
-241.0,262,108.858021
-286.0,306,110.547374
-277.0,192,111.26116
-277.0,194,111.997675
-277.0,238,113.296132
-290.76,173,113.941247
-277.0,216,115.231956
-244.12,348,116.539598
-255.76,200,117.708843
-147.0,322,118.91511
-198.0,432,120.932106
-124.0,236,122.215867
-277.0,248,123.151894
-277.0,305,124.722507
-239.0,257,125.665959
-269.76,156,126.696421
-277.0,231,127.553099
-217.0,284,129.029817
-215.0,364,130.374499
-241.0,320,132.026454
-277.0,379,133.864407
-287.0,234,134.726382
-176.52,298,136.447733
-277.0,271,137.439744
-220.0,351,139.198426
-278.0,249,140.17362
-287.64,216,141.491883
-277.0,226,142.401944
-249.0,384,144.51
-277.0,308,146.230203
-240.0,279,147.329432
-215.0,341,149.179224
-172.0,452,151.535395
-108.0,502,154.014712
-284.0,299,155.18919
-277.0,186,156.395791
-290.76,170,157.070463
-204.0,307,158.790961
-287.0,255,159.795623
-277.0,255,161.315029
-283.0,330,162.607137
-102.0,302,164.47154
-156.0,355,165.915875
-237.0,316,167.636574
-284.0,250,169.169326
-204.0,341,170.570246
-277.0,238,171.870463
-189.0,394,173.893995
-242.0,339,175.206223
-197.0,428,177.37887
-287.0,260,178.836885
-247.0,433,180.55548
-285.0,278,182.091619
