#{"t_start": 1676009163.814888, "env_id": null}
r,l,t
-249.0,249,1.060095
-287.0,231,1.955051
-277.0,302,3.372542
-241.0,289,4.651093
-242.0,315,5.683539
-131.6,359,7.088651
-143.0,233,7.889613
-223.52,261,9.067246
-277.0,223,9.947398
-158.52,350,11.556253
-270.0,255,12.406033
-238.0,267,13.524608
-224.0,360,15.008609
-198.0,382,16.329659
-195.0,358,17.863571
-250.0,321,19.740024
-277.0,266,20.81332
-211.8,336,22.45309
-245.76,271,23.575137
-254.8,269,24.866075
-210.0,423,26.6417
-172.0,368,28.43555
-247.0,357,29.89415
-212.0,258,31.409158
-277.0,230,32.340175
-304.52,167,33.307172
-285.4,196,34.113159
-165.0,458,36.310793
-277.0,237,37.197229
-281.8,245,38.299101
-225.28,727,41.48908
-287.0,353,43.224227
-249.0,208,43.955303
-277.0,202,44.895816
-290.76,196,45.646911
-164.52,266,47.092375
-260.0,359,48.572078
-230.0,238,49.943844
-249.2,198,50.747568
-243.0,396,52.734404
-195.0,349,54.541924
-213.0,467,56.316239
-218.8,313,57.815736
-277.0,246,59.226483
-247.0,232,60.047686
-249.0,303,61.393021
-244.92,240,62.308603
-271.0,181,63.009044
-108.0,316,64.652126
-144.68,386,66.543022
-250.0,300,67.656287
-222.0,269,68.930593
-281.48,189,69.721164
-277.0,268,71.153865
-239.0,285,72.318243
-205.0,342,73.945261
-243.0,333,75.385046
-184.12,411,77.269226
-187.32,410,78.970834
-247.0,399,80.95067
-247.0,301,82.608727
-290.76,232,83.549876
-224.0,279,85.036973
-141.0,380,86.598907
-172.0,412,88.67385
-196.0,452,90.884208
-277.0,379,92.77916
-250.0,304,93.851354
-250.0,311,95.239111
-235.0,356,96.867646
-199.0,422,98.972519
-277.0,354,100.444822
-277.0,208,101.644723
-239.0,336,103.059677
-273.76,234,104.321604
-203.0,345,105.577524
-212.0,239,106.833559
300.2,499,109.301239
-250.0,303,110.58352
-118.76,273,111.99819
-243.0,423,114.03864
-277.0,235,114.981439
-277.0,310,116.601668
-233.16,353,118.338509
-277.0,277,119.463595
-177.0,344,121.151062
-183.0,348,122.395594
-242.0,310,123.878923
-222.0,370,125.686826
-150.92,318,126.801671
-233.0,330,128.221431
-260.0,374,129.854538
-167.0,438,132.001527
-225.0,425,133.736964
-186.0,366,135.388889
-197.96,477,137.360137
-124.0,454,139.396565
-204.0,337,141.241632
-239.0,328,142.535207
-253.8,270,143.997087
-245.0,274,145.156919
-106.0,386,147.105574
-277.0,266,148.605396
-272.76,293,149.863691
-277.0,224,151.146415
-260.96,284,152.383303
-123.52,318,154.064393
-250.0,293,155.147651
-251.0,312,156.641903
-249.0,317,158.384138
-248.0,272,159.575009
-215.0,337,161.35207
-277.0,351,163.212299
-196.0,289,164.443348
-182.0,389,166.389748
-202.0,370,168.347767
-277.0,359,169.843781
-231.0,361,171.611516
-245.0,324,173.003168
-228.52,453,174.788905
