#{"t_start": 1676011955.3245938, "env_id": null}
r,l,t
-181.0,308,1.467551
-232.0,250,2.911158
-243.0,271,3.902453
-111.0,463,5.938023
-251.0,296,7.534786
-218.2,252,8.595984
-277.0,359,10.48587
-213.0,272,11.62088
-240.0,306,13.251143
-277.0,373,15.196766
-261.0,316,16.379785
-170.92,415,18.296763
-160.0,436,20.527578
-111.96,287,21.766962
-222.76,322,23.331423
-278.76,221,24.400222
-290.76,188,25.143658
-242.0,237,26.169486
-195.0,332,27.982555
-243.0,254,29.499208
-238.0,278,30.67308
-171.0,490,33.15516
-277.0,398,35.296483
-179.0,403,37.345729
-277.0,311,38.671198
-294.44,190,39.835086
-157.0,443,41.477655
-277.0,302,42.929285
-217.76,192,43.746282
-241.0,254,45.159532
-225.8,360,47.05813
-237.28,285,48.202474
-232.0,224,49.424845
-128.0,424,51.191919
-200.0,412,53.128805
-243.0,336,54.712473
-277.0,262,55.639964
-277.0,304,56.951212
-281.96,244,57.933091
-238.0,357,59.677999
-233.0,295,61.203861
-270.0,266,62.156501
-290.76,214,63.1472
-277.0,226,63.96811
-196.12,351,65.676977
-143.0,266,66.724935
-277.0,279,68.125652
-202.0,312,69.253853
-277.0,277,70.526157
-219.0,181,71.224598
-227.48,363,72.911502
-161.0,382,74.863412
-212.0,413,76.929685
-277.0,241,77.820644
-234.0,326,79.273971
-212.76,356,80.734863
-189.0,273,82.230825
-277.0,338,83.954123
-277.0,255,84.911176
-223.0,273,86.158258
-198.0,387,87.716843
-290.76,214,89.058194
-209.0,467,91.404522
-198.0,399,93.160931
-283.0,267,94.222197
-243.0,281,95.601605
-198.0,412,97.408408
-250.0,396,99.429987
-195.0,214,100.702861
-253.0,392,102.142458
-240.0,337,103.671956
-222.0,393,105.457269
-277.0,297,106.735772
-277.0,263,108.162605
-109.84,465,110.46631
-246.0,267,111.585545
-181.0,356,113.450929
-153.8,202,114.317065
-250.0,281,115.738832
-198.0,426,117.527383
-241.0,261,118.559327
-170.0,402,120.565481
-105.72,329,122.234611
-130.0,370,123.836773
-223.0,296,125.328583
389.0,262,126.502848
